issue_id,title,ground_truth,pred_llama3.1,pred_mistral,pred_qwen2.5,n_models_voted,n_yes_votes,ensemble_prediction,project,input_mode,task,strategy
ISSUE-252206,libmongoclient.so not generated when compling lateset c++ driver,0,1,1,1,3,3,1,project_04,title_only,ambiguity,zero_shot
ISSUE-252474,Enforce /MD with Windows C++ DLL driver,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251467,Mutator methods which return non-void should document their return value,0,0,0,0,3,0,0,project_04,title_only,ambiguity,zero_shot
ISSUE-250928,Test with gcc 4.9?,1,1,1,1,3,3,1,project_04,title_only,ambiguity,zero_shot
ISSUE-250906,Regenerate test certificates with SHA256 signatures,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251809,Allow configuration of SSL independently of the C driver,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251443,Update release documentation to discuss moving releases/stable branch,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-252069,Use of TARGET_OBJECTS in CMake build produces incorrect shared library,0,1,1,0,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-251960,clang-format the legacy driver,0,1,1,0,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-252104,"improve handling of """"node is recovering"""" errors",0,1,1,1,3,3,1,project_04,title_only,ambiguity,zero_shot
ISSUE-250562,BSON UDL for from_json,1,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251355,Move mongocxx::libbson code somewhere where bsoncxx can access it,0,0,1,1,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-251652,Compile error with clang/libc++ on Linux due to ambiguous call to 'append' member function,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251739,Backport server r3.0.8..r3.0.12 changes,1,1,1,0,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-250612,"Windows tasks failing with """"insufficient disk space"""" on Evergreen",0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-252465,libmongoclient should not link db/commands.cpp,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251807,Add VS2015 builders for legacy C++ driver,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-250752,Update FLE documentation for community version demonstrating explicit encryption/decryption,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251483,Create C++ driver benchmark suite,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-250688,Ubuntu 16.04's compressed debug symbols confuse Valgrind,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-250556,Remove unused and add missing includes,1,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251543,Audit all libmongoc and libbson calls for error handling,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-250593,Update Travis tests from Ubuntu 14.04 and test against latest server,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-250638,Resync SDAM error handling spec tests,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251626,Misunderstanding about bsoncxx::document::element,0,0,1,1,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-252399,on linux systems it is customary to use sonames when creating shared libraries,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-252510,Default Windows builds of the C++ client driver to use /MD,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251377,Implement unit tests for GridFS options and result classes,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-252499,ScopedDbConnection not being returned to the pool,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-252183,DBClientWithCommands::reIndex should not use getSystemIndexesCollection,0,0,0,0,3,0,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251644,C++11 driver 3.0.1 so much slower than legacy C++ driver 2.6.11?,0,1,1,1,3,3,1,project_04,title_only,ambiguity,zero_shot
ISSUE-251455,Provide more user-friendly constructor or factory function for builder::core,0,0,1,1,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-251387,Configurable connect timeout in C++ driver. Currently fixed at 5 secs.,0,0,0,0,3,0,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251857,string_view.data() is unsafe,1,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251284,Add RHEL 7 Evergreen builder,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-250698,Properly deprecate create_collection methods,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-250784,Allow authentication to all server types except arbiters,0,1,1,0,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-252291,MongoDB exception 17234,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-250878,bsoncxx:to_json causes double value to truncate,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-252519,Apply endian conversions where necessary in the C++ driver bson library,0,0,1,1,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-250634,Use sort when verifying contents of outcome collections,0,1,1,1,3,3,1,project_04,title_only,ambiguity,zero_shot
ISSUE-251786,coll.drop() throws if collection doesn't exist,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251038,Provide Transactions example for Docs,0,1,1,1,3,3,1,project_04,title_only,ambiguity,zero_shot
ISSUE-250701,spec tests that run count should not use estimated count helper,0,0,0,0,3,0,0,project_04,title_only,ambiguity,zero_shot
ISSUE-250622,Remove the compatibility matrixes from documentation,0,1,1,0,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-251804,Add ability to use document::view with stream builder,0,1,1,0,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-252468,10gen repo for ubuntu does not provide mongodb-10gen-devel package,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251978,Unable to compile new CXX driver,0,0,1,1,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-252023,Backport server r3.0.0-rc6..r3.0.1 changes,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-252444,OID::init and mongo::jsTime unresolved in shared client (.so),0,1,1,0,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-250789,mongocxx::uri call works with c char* parameter but not with c++ string parameter,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251675,legacy driver fails to build on FreeBSD,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-252109,Expose the ability to explicitly refresh the state of a replica set member,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-252006,Creating BSON from JSON,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-250966,cursor::begin() is invalid after using std::distance,0,1,1,0,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-250973,bsoncxx::to_json() do not support GBK,0,1,1,0,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-251233,Investigate issues with load path for macos-1012 variant,0,0,1,1,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-252108,ReplicaSetMonitor should monitor arbiters,0,1,1,0,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-250839,Add mongodb+srv URIs to Atlas Connectivity tests,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-252397,Add sparse option to ensureIndex,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251366,Document that Windows users should build libbson without extra alignment,0,1,1,0,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-252042,Quickstart Wiki Page,1,0,1,1,3,2,1,project_04,title_only,ambiguity,zero_shot
