issue_id,title,ground_truth,pred_llama3.1,pred_mistral,pred_qwen2.5,n_models_voted,n_yes_votes,ensemble_prediction
ISSUE-0084,Performance issue #84,1,0,0,0,3,0,0
ISSUE-0085,Null pointer exception #85,0,0,1,1,3,2,1
ISSUE-0086,Search not working #86,0,1,0,0,3,1,0
ISSUE-0087,Add dark mode #87,1,0,0,1,3,1,0
ISSUE-0088,Crash on startup #88,0,0,0,0,3,0,0
ISSUE-0089,Email validation #89,1,1,1,1,3,3,1
ISSUE-0090,Database timeout #90,1,1,1,1,3,3,1
ISSUE-0091,Missing error handling #91,1,0,1,1,3,2,1
ISSUE-0092,API rate limiting #92,0,0,1,0,3,1,0
ISSUE-0093,Button color #93,1,0,1,0,3,1,0
ISSUE-0094,Memory leak #94,0,0,0,0,3,0,0
ISSUE-0095,Update docs #95,0,1,0,0,3,1,0
ISSUE-0096,File upload fails #96,1,0,1,1,3,2,1
ISSUE-0097,Wrong total #97,1,1,0,1,3,2,1
ISSUE-0098,Session expiry #98,1,0,1,0,3,1,0
ISSUE-0099,Fix typo #99,0,1,1,1,3,3,1
ISSUE-0100,Pagination broken #100,1,0,0,0,3,0,0
ISSUE-0101,Add logging #101,0,1,1,1,3,3,1
ISSUE-0102,Two-factor auth #102,0,0,0,1,3,1,0
ISSUE-0103,Improve something #103,0,1,0,0,3,1,0
ISSUE-0104,CSV import fails #104,1,0,1,1,3,2,1
ISSUE-0105,Profile page slow #105,0,1,1,1,3,3,1
ISSUE-0106,Notifications broken #106,0,0,0,1,3,1,0
ISSUE-0107,Timezone bug #107,1,1,1,0,3,2,1
ISSUE-0108,Dropdown empty #108,1,1,1,0,3,2,1
ISSUE-0109,Report generation #109,1,0,1,0,3,1,0
ISSUE-0110,Missing feature #110,1,1,1,0,3,2,1
ISSUE-0111,Concurrent edit conflict #111,0,1,1,1,3,3,1
ISSUE-0112,Wrong redirect #112,1,0,0,1,3,1,0
ISSUE-0113,Image resize #113,0,1,1,0,3,2,1
ISSUE-0114,Filter not saving #114,1,1,0,1,3,2,1
ISSUE-0115,Audit log missing #115,0,0,1,1,3,2,1
ISSUE-0116,Language switch broken #116,0,0,1,1,3,2,1
ISSUE-0117,Role permission #117,0,1,1,1,3,3,1
ISSUE-0118,Broken link #118,0,0,1,1,3,2,1
ISSUE-0119,Chart rendering #119,0,1,0,1,3,2,1
ISSUE-0120,Delete confirmation #120,0,0,1,0,3,1,0
ISSUE-0121,Fix login bug #121,0,1,0,1,3,2,1
ISSUE-0122,Update UI #122,1,0,1,1,3,2,1
ISSUE-0123,Add export feature #123,1,1,1,0,3,2,1
ISSUE-0124,Performance issue #124,1,0,1,1,3,2,1
ISSUE-0125,Null pointer exception #125,1,0,0,1,3,1,0
ISSUE-0126,Search not working #126,0,1,0,0,3,1,0
ISSUE-0127,Add dark mode #127,1,0,0,0,3,0,0
ISSUE-0128,Crash on startup #128,0,1,0,0,3,1,0
ISSUE-0129,Email validation #129,1,1,1,1,3,3,1
ISSUE-0130,Database timeout #130,0,1,0,0,3,1,0
ISSUE-0131,Missing error handling #131,1,1,1,0,3,2,1
ISSUE-0132,API rate limiting #132,1,0,0,1,3,1,0
ISSUE-0133,Button color #133,0,0,1,1,3,2,1
ISSUE-0134,Memory leak #134,1,0,0,1,3,1,0
ISSUE-0135,Update docs #135,1,1,0,0,3,1,0
ISSUE-0136,File upload fails #136,0,0,1,0,3,1,0
ISSUE-0137,Wrong total #137,0,1,1,0,3,2,1
ISSUE-0138,Session expiry #138,1,1,0,1,3,2,1
ISSUE-0139,Fix typo #139,0,0,0,0,3,0,0
ISSUE-0140,Pagination broken #140,1,1,0,0,3,1,0
ISSUE-0141,Add logging #141,0,1,0,0,3,1,0
ISSUE-0142,Two-factor auth #142,0,1,1,0,3,2,1
ISSUE-0143,Improve something #143,1,0,0,0,3,0,0
ISSUE-0144,CSV import fails #144,0,1,0,0,3,1,0
ISSUE-0145,Profile page slow #145,1,1,1,0,3,2,1
ISSUE-0146,Notifications broken #146,0,1,1,1,3,3,1
ISSUE-0147,Timezone bug #147,1,1,1,1,3,3,1
ISSUE-0148,Dropdown empty #148,1,0,1,0,3,1,0
ISSUE-0149,Report generation #149,1,1,1,0,3,2,1
ISSUE-0150,Missing feature #150,0,1,1,1,3,3,1
ISSUE-0151,Concurrent edit conflict #151,0,0,0,0,3,0,0
ISSUE-0152,Wrong redirect #152,0,0,0,1,3,1,0
ISSUE-0153,Image resize #153,0,0,1,0,3,1,0
ISSUE-0154,Filter not saving #154,0,1,1,1,3,3,1
ISSUE-0155,Audit log missing #155,1,1,1,0,3,2,1
ISSUE-0156,Language switch broken #156,0,0,0,0,3,0,0
ISSUE-0157,Role permission #157,0,1,1,0,3,2,1
ISSUE-0158,Broken link #158,0,1,1,1,3,3,1
ISSUE-0159,Chart rendering #159,1,1,0,0,3,1,0
ISSUE-0160,Delete confirmation #160,0,1,1,0,3,2,1
ISSUE-0161,Fix login bug #161,0,0,1,1,3,2,1
ISSUE-0162,Update UI #162,0,0,1,1,3,2,1
ISSUE-0163,Add export feature #163,1,1,1,1,3,3,1
ISSUE-0164,Performance issue #164,0,0,1,1,3,2,1
ISSUE-0165,Null pointer exception #165,0,0,1,1,3,2,1
ISSUE-0166,Search not working #166,1,0,0,1,3,1,0
ISSUE-0167,Add dark mode #167,1,0,1,0,3,1,0
ISSUE-0168,Crash on startup #168,0,0,0,1,3,1,0
ISSUE-0169,Email validation #169,1,0,1,1,3,2,1
ISSUE-0170,Database timeout #170,0,0,1,0,3,1,0
ISSUE-0171,Missing error handling #171,0,1,0,0,3,1,0
ISSUE-0172,API rate limiting #172,1,1,1,1,3,3,1
ISSUE-0173,Button color #173,1,0,0,0,3,0,0
ISSUE-0174,Memory leak #174,1,0,0,0,3,0,0
ISSUE-0175,Update docs #175,1,1,1,0,3,2,1
ISSUE-0176,File upload fails #176,0,1,1,1,3,3,1
ISSUE-0177,Wrong total #177,1,0,0,0,3,0,0
ISSUE-0178,Session expiry #178,1,1,0,0,3,1,0
ISSUE-0179,Fix typo #179,0,0,1,0,3,1,0
ISSUE-0180,Pagination broken #180,1,0,0,0,3,0,0
ISSUE-0181,Add logging #181,1,1,1,1,3,3,1
ISSUE-0182,Two-factor auth #182,1,0,1,0,3,1,0
ISSUE-0183,Improve something #183,1,1,1,1,3,3,1
ISSUE-0184,CSV import fails #184,1,1,0,0,3,1,0
ISSUE-0185,Profile page slow #185,0,0,1,0,3,1,0
ISSUE-0186,Notifications broken #186,1,1,1,1,3,3,1
ISSUE-0187,Timezone bug #187,1,0,1,1,3,2,1
ISSUE-0188,Dropdown empty #188,0,1,0,1,3,2,1
ISSUE-0189,Report generation #189,1,0,1,1,3,2,1
ISSUE-0190,Missing feature #190,1,1,1,0,3,2,1
ISSUE-0191,Concurrent edit conflict #191,1,1,1,1,3,3,1
ISSUE-0192,Wrong redirect #192,0,1,0,1,3,2,1
ISSUE-0193,Image resize #193,1,1,0,1,3,2,1
ISSUE-0194,Filter not saving #194,1,1,1,1,3,3,1
ISSUE-0195,Audit log missing #195,0,1,1,1,3,3,1
ISSUE-0196,Language switch broken #196,1,1,1,1,3,3,1
ISSUE-0197,Role permission #197,1,1,1,0,3,2,1
ISSUE-0198,Broken link #198,1,1,1,0,3,2,1
ISSUE-0199,Chart rendering #199,1,1,1,0,3,2,1
ISSUE-0200,Delete confirmation #200,1,0,1,0,3,1,0
