issue_id,title,ground_truth,pred_llama3.1,pred_mistral,pred_qwen2.5,n_models_voted,n_yes_votes,ensemble_prediction,project,input_mode,task,strategy
ISSUE-207178,An upgrade should be idempotent,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205965,Ledger upgrade transaction should specify a package name,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207326,Prove the pool upgrade mechanism by performing a noticeable upgrade test,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206117,Simple Timeout fixes of the current View Change protocol,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206655,As I Validator or Observer Node,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207231,eliminate runtime warnings that show during tests,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206217,Clarify current permissible actions with DID's roles,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205635,Enable PreViewChange Strategy,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205719,Validator info tool should show windowed throughput statistics,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205358,indy-node upgrade problem - No such directory,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206471,Validator-info tool is not working with build 1.2.49,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207259,[send NYM] Add verkey and update verkey commands don't work,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206618,Allow a steward to update his node entry in the ledger - including the verkey,0,1,1,0,3,2,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205847,Fail to update pool ledger if no connection to a node in the genesis file in old cli,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205621,Expected object or value error during batch handling,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206100,Support Payment API txns in load script,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206303,Ordering of 3PC-batches on a backup replica may stop after a catch-up,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206249,Add Docker getting started configuration,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207080,Valid write transactions may be rejected as having invalid signatures (case 2),0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206714,Primary fails to send pre-prepare,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207130,Node with multiple NICs:,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206872,As a Steward,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206649,DOC: Request for release notes on Indy-node 1.1.31,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207129,Some nodes are slow to process network data,1,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206996,improve timestamp mechanism to use fuzzy,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205942,"How-to """"Add new node to existing pool",0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207319,REF validator,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205527,Implementation: Improve catch-up to use audit ledger for consistency,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206160,Analyse the current View Change protocol issues,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206183,Date in log name doesn't accord to the day when the log was rotated,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206911,list keyrings showing results twice,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205543,As a user of Valdiator Info script,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206727,Accidental tests of indy-node intermittently fail on Jenkins,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205664,Is there any replacement for leveldb?,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205912,As a Sovrin Foundation,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206478,The pool state should be updated after any node BLS key changing,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207005,"Nodes not receiving new transaction if its """"View"""" list is different from other nodes in the pool",0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205432,Auto trigger CD pipeline for release-* branches,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207212,Node memory leak,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206218,Node is restarted because of Out of memory error,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206980,A primary may not be able to send checkpoints after re-start,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206016,Upgrade failed on pool from 1.3.62 to 1.4.66,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205350,Use more trusted docker image for system tests client docker container,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
