model,strategy,model_desc,project,input_mode,accuracy,precision,recall,f1,tp,fp,tn,fn,n_evaluated
ensemble,few_shot,ensemble,project_01,title_desc,0.6383,0.1053,1.0,0.1905,4,34,56,0,94
ensemble,cot,ensemble,project_01,title_desc,0.617,0.1,1.0,0.1818,4,36,54,0,94
ensemble,few_shot_cot,ensemble,project_01,title_desc,0.1702,0.0488,1.0,0.093,4,78,12,0,94
llama3.1,zero_shot,Llama 3.1 8B,project_02,title_only,0.7204,0.05,0.125,0.0714,1,19,66,7,93
llama3.1,few_shot,Llama 3.1 8B,project_02,title_only,0.3333,0.1143,1.0,0.2051,8,62,23,0,93
llama3.1,cot,Llama 3.1 8B,project_02,title_only,0.6344,0.0667,0.25,0.1053,2,28,57,6,93
llama3.1,few_shot_cot,Llama 3.1 8B,project_02,title_only,0.1183,0.0889,1.0,0.1633,8,82,3,0,93
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_02,title_only,0.7097,0.2286,1.0,0.3721,8,27,58,0,93
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_02,title_only,0.7849,0.2273,0.625,0.3333,5,17,68,3,93
qwen2.5,cot,Qwen 2.5 14B Instruct,project_02,title_only,0.2283,0.1013,1.0,0.1839,8,71,13,0,92
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_02,title_only,0.2151,0.0988,1.0,0.1798,8,73,12,0,93
ensemble,zero_shot,ensemble,project_02,title_only,0.7174,0.05,0.125,0.0714,1,19,65,7,92
ensemble,few_shot,ensemble,project_02,title_only,0.3261,0.1143,1.0,0.2051,8,62,22,0,92
ensemble,cot,ensemble,project_02,title_only,0.6304,0.0667,0.25,0.1053,2,28,56,6,92
ensemble,few_shot_cot,ensemble,project_02,title_only,0.1196,0.0899,1.0,0.1649,8,81,3,0,92
llama3.1,zero_shot,Llama 3.1 8B,project_02,title_desc,0.8172,0.0,0.0,0.0,0,17,76,0,93
llama3.1,few_shot,Llama 3.1 8B,project_02,title_desc,0.7097,0.0,0.0,0.0,0,27,66,0,93
llama3.1,cot,Llama 3.1 8B,project_02,title_desc,0.7419,0.0,0.0,0.0,0,24,69,0,93
llama3.1,few_shot_cot,Llama 3.1 8B,project_02,title_desc,0.0769,0.0,0.0,0.0,0,84,7,0,91
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_02,title_desc,0.8065,0.0,0.0,0.0,0,18,75,0,93
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_02,title_desc,0.8387,0.0,0.0,0.0,0,15,78,0,93
qwen2.5,cot,Qwen 2.5 14B Instruct,project_02,title_desc,0.2473,0.0,0.0,0.0,0,70,23,0,93
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_02,title_desc,0.2258,0.0,0.0,0.0,0,72,21,0,93
ensemble,zero_shot,ensemble,project_02,title_desc,0.8261,0.0,0.0,0.0,0,16,76,0,92
ensemble,few_shot,ensemble,project_02,title_desc,0.7174,0.0,0.0,0.0,0,26,66,0,92
ensemble,cot,ensemble,project_02,title_desc,0.75,0.0,0.0,0.0,0,23,69,0,92
ensemble,few_shot_cot,ensemble,project_02,title_desc,0.087,0.0,0.0,0.0,0,84,8,0,92
llama3.1,zero_shot,Llama 3.1 8B,project_03,title_only,0.5109,0.1064,0.625,0.1818,5,42,42,3,92
llama3.1,few_shot,Llama 3.1 8B,project_03,title_only,0.1196,0.0899,1.0,0.1649,8,81,3,0,92
llama3.1,cot,Llama 3.1 8B,project_03,title_only,0.4674,0.098,0.625,0.1695,5,46,38,3,92
llama3.1,few_shot_cot,Llama 3.1 8B,project_03,title_only,0.0978,0.0879,1.0,0.1616,8,83,1,0,92
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_03,title_only,0.4239,0.1311,1.0,0.2319,8,53,31,0,92
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_03,title_only,0.5,0.1346,0.875,0.2333,7,45,39,1,92
qwen2.5,cot,Qwen 2.5 14B Instruct,project_03,title_only,0.1087,0.0889,1.0,0.1633,8,82,2,0,92
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_03,title_only,0.1087,0.0889,1.0,0.1633,8,82,2,0,92
ensemble,zero_shot,ensemble,project_03,title_only,0.5109,0.1064,0.625,0.1818,5,42,42,3,92
ensemble,few_shot,ensemble,project_03,title_only,0.1196,0.0899,1.0,0.1649,8,81,3,0,92
ensemble,cot,ensemble,project_03,title_only,0.4674,0.098,0.625,0.1695,5,46,38,3,92
ensemble,few_shot_cot,ensemble,project_03,title_only,0.0978,0.0879,1.0,0.1616,8,83,1,0,92
llama3.1,zero_shot,Llama 3.1 8B,project_03,title_desc,0.7391,0.0,0.0,0.0,0,24,68,0,92
llama3.1,few_shot,Llama 3.1 8B,project_03,title_desc,0.4022,0.0,0.0,0.0,0,55,37,0,92
llama3.1,cot,Llama 3.1 8B,project_03,title_desc,0.6,0.0,0.0,0.0,0,36,54,0,90
llama3.1,few_shot_cot,Llama 3.1 8B,project_03,title_desc,0.0864,0.0,0.0,0.0,0,74,7,0,81
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_03,title_desc,0.6413,0.0,0.0,0.0,0,33,59,0,92
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_03,title_desc,0.7826,0.0,0.0,0.0,0,20,72,0,92
qwen2.5,cot,Qwen 2.5 14B Instruct,project_03,title_desc,0.1304,0.0,0.0,0.0,0,80,12,0,92
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_03,title_desc,0.1957,0.0,0.0,0.0,0,74,18,0,92
ensemble,zero_shot,ensemble,project_03,title_desc,0.7391,0.0,0.0,0.0,0,24,68,0,92
ensemble,few_shot,ensemble,project_03,title_desc,0.4022,0.0,0.0,0.0,0,55,37,0,92
ensemble,cot,ensemble,project_03,title_desc,0.5978,0.0,0.0,0.0,0,37,55,0,92
ensemble,few_shot_cot,ensemble,project_03,title_desc,0.087,0.0,0.0,0.0,0,84,8,0,92
llama3.1,zero_shot,Llama 3.1 8B,project_04,title_only,0.7033,0.16,0.4,0.2286,4,21,60,6,91
llama3.1,few_shot,Llama 3.1 8B,project_04,title_only,0.2527,0.1282,1.0,0.2273,10,68,13,0,91
llama3.1,cot,Llama 3.1 8B,project_04,title_only,0.6813,0.1935,0.6,0.2927,6,25,56,4,91
llama3.1,few_shot_cot,Llama 3.1 8B,project_04,title_only,0.1319,0.1124,1.0,0.202,10,79,2,0,91
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_04,title_only,0.7802,0.25,0.5,0.3333,5,15,66,5,91
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_04,title_only,0.8352,0.3333,0.5,0.4,5,10,71,5,91
qwen2.5,cot,Qwen 2.5 14B Instruct,project_04,title_only,0.1648,0.1163,1.0,0.2083,10,76,5,0,91
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_04,title_only,0.1648,0.1163,1.0,0.2083,10,76,5,0,91
ensemble,zero_shot,ensemble,project_04,title_only,0.7033,0.16,0.4,0.2286,4,21,60,6,91
ensemble,few_shot,ensemble,project_04,title_only,0.2527,0.1282,1.0,0.2273,10,68,13,0,91
ensemble,cot,ensemble,project_04,title_only,0.6813,0.1935,0.6,0.2927,6,25,56,4,91
ensemble,few_shot_cot,ensemble,project_04,title_only,0.1319,0.1124,1.0,0.202,10,79,2,0,91
llama3.1,zero_shot,Llama 3.1 8B,project_04,title_desc,0.9231,0.0,0.0,0.0,0,6,84,1,91
llama3.1,few_shot,Llama 3.1 8B,project_04,title_desc,0.6484,0.0303,1.0,0.0588,1,32,58,0,91
llama3.1,cot,Llama 3.1 8B,project_04,title_desc,0.7528,0.0,0.0,0.0,0,21,67,1,89
llama3.1,few_shot_cot,Llama 3.1 8B,project_04,title_desc,0.1609,0.0135,1.0,0.0267,1,73,13,0,87
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_04,title_desc,0.7912,0.05,1.0,0.0952,1,19,71,0,91
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_04,title_desc,0.8242,0.0588,1.0,0.1111,1,16,74,0,91
qwen2.5,cot,Qwen 2.5 14B Instruct,project_04,title_desc,0.2111,0.0139,1.0,0.0274,1,71,18,0,90
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_04,title_desc,0.2,0.0137,1.0,0.027,1,72,17,0,90
ensemble,zero_shot,ensemble,project_04,title_desc,0.9231,0.0,0.0,0.0,0,6,84,1,91
ensemble,few_shot,ensemble,project_04,title_desc,0.6484,0.0303,1.0,0.0588,1,32,58,0,91
ensemble,cot,ensemble,project_04,title_desc,0.7363,0.0,0.0,0.0,0,23,67,1,91
ensemble,few_shot_cot,ensemble,project_04,title_desc,0.1538,0.0128,1.0,0.0253,1,77,13,0,91
llama3.1,zero_shot,Llama 3.1 8B,project_05,title_only,0.6596,0.037,0.1429,0.0588,1,26,61,6,94
llama3.1,few_shot,Llama 3.1 8B,project_05,title_only,0.266,0.0811,0.8571,0.1481,6,68,19,1,94
llama3.1,cot,Llama 3.1 8B,project_05,title_only,0.6374,0.1176,0.5714,0.1951,4,30,54,3,91
llama3.1,few_shot_cot,Llama 3.1 8B,project_05,title_only,0.1489,0.0805,1.0,0.1489,7,80,7,0,94
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_05,title_only,0.6809,0.1034,0.4286,0.1667,3,26,61,4,94
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_05,title_only,0.8298,0.2353,0.5714,0.3333,4,13,74,3,94
qwen2.5,cot,Qwen 2.5 14B Instruct,project_05,title_only,0.1596,0.061,0.7143,0.1124,5,77,10,2,94
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_05,title_only,0.1702,0.0723,0.8571,0.1333,6,77,10,1,94
ensemble,zero_shot,ensemble,project_05,title_only,0.6596,0.037,0.1429,0.0588,1,26,61,6,94
ensemble,few_shot,ensemble,project_05,title_only,0.266,0.0811,0.8571,0.1481,6,68,19,1,94
ensemble,cot,ensemble,project_05,title_only,0.6277,0.1111,0.5714,0.186,4,32,55,3,94
ensemble,few_shot_cot,ensemble,project_05,title_only,0.1489,0.0805,1.0,0.1489,7,80,7,0,94
llama3.1,zero_shot,Llama 3.1 8B,project_05,title_desc,0.8617,0.0,0.0,0.0,0,13,81,0,94
llama3.1,few_shot,Llama 3.1 8B,project_05,title_desc,0.5957,0.0,0.0,0.0,0,38,56,0,94
llama3.1,cot,Llama 3.1 8B,project_05,title_desc,0.7,0.0,0.0,0.0,0,27,63,0,90
llama3.1,few_shot_cot,Llama 3.1 8B,project_05,title_desc,0.0659,0.0,0.0,0.0,0,85,6,0,91
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_05,title_desc,0.4362,0.0,0.0,0.0,0,53,41,0,94
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_05,title_desc,0.5745,0.0,0.0,0.0,0,40,54,0,94
qwen2.5,cot,Qwen 2.5 14B Instruct,project_05,title_desc,0.1702,0.0,0.0,0.0,0,78,16,0,94
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_05,title_desc,0.117,0.0,0.0,0.0,0,83,11,0,94
ensemble,zero_shot,ensemble,project_05,title_desc,0.8617,0.0,0.0,0.0,0,13,81,0,94
ensemble,few_shot,ensemble,project_05,title_desc,0.5957,0.0,0.0,0.0,0,38,56,0,94
ensemble,cot,ensemble,project_05,title_desc,0.7021,0.0,0.0,0.0,0,28,66,0,94
ensemble,few_shot_cot,ensemble,project_05,title_desc,0.0851,0.0,0.0,0.0,0,86,8,0,94
