issue_id,title,ground_truth,pred_llama3.1,pred_qwen2.5,n_models_voted,n_yes_votes,ensemble_prediction,project,input_mode,task,strategy
ISSUE-253502,Re-enable write concern tests for dropDatabase command,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255435,Thread Locals not being freed in thread pool,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255744,authentication for replica set fails frequently because 'getnonce' and 'authenticate' command is issued to different server,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255326,No Such Method Exception When Instantiating Mongo Client,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255548,Stackoverflow when querying document with cycle reference using DBRef,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254528,Add MongoCollection.dropIndex(Bson keys),0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254203,Add equals() and toString() to Updates,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254082,Connection and thread leakage in DefaultServerMonitor,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-253763,Reduce size of Evergreen matrix,0,1,1,2,2,1,project_05,title_desc,ambiguity,zero_shot
ISSUE-254130,Ensure Loggers are past to ErrorHandlingCallbacks,0,1,1,2,2,1,project_05,title_desc,ambiguity,zero_shot
ISSUE-253459,how to implement nested query in java API,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255998,Tried to save too large of an object. max size: 2098176,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254903,REPLICA_ACKNOWLEDGED not working at the time of arbiter Node,0,1,1,2,2,1,project_05,title_desc,ambiguity,zero_shot
ISSUE-253040,mavenLocal should be first repository,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255829,Publish maven SNAPSHOTs,0,1,1,2,2,1,project_05,title_desc,ambiguity,zero_shot
ISSUE-253678,Document new Pojo updates,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255807,Allow bson decoder per operation (find/cusor),0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-252979,Remove CLIRR support from the build,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-252775,Multiple reads of BsonBinary UUID return different results,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254111,Allow setting of standard server selection and server monitoring options in the connection string,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255459,Aggregate and mapReduce commands sent to mongos break when setting read preference,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-253919,DBCollection.distinct() fails when a null value is in the result,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254628,Force slaveOK on a direct connection to a replica set membe,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255956,Use weakrefs for static list of Mongo instances,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-253509,Make Java driver spec compliant - FY2019Q2,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-252673,GetMore not closing cursor after exception leading mongos to OOM,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254365,Remove errant Javadoc for w = -1 in WriteConcern constructors.,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-253861,Add to Enum<JsonMode>,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254940,Consider supporting writetimeout for sockets implementations that support it,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-252879,MongoClient.listCollectionNames() returns truncated names,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255508,Connection timeout is ignored in ConnectionStatus,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-252730,Test that readPreferenceTags are always interpreted as an array,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255584,skip() throw exception with the source code version 2.7.2-141,0,1,1,2,2,1,project_05,title_desc,ambiguity,zero_shot
ISSUE-253722,Add more host types to run on in Evergreen,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255096,remove ensureIndex() methods,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-252635,Replace default signatory in Gradle signing plugin with notary service,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-252884,Revert NPE error handling in Reactive Streams driver,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-252572,Median and Percentile Accumulators,0,1,1,2,2,1,project_05,title_desc,ambiguity,zero_shot
ISSUE-254092,DBCollection aggregate methods that take AggregationOptions fail to set slaveOk bit when read preference demands it,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-252719,Add tests for allowed cases when authSource is given but username is not,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254567,Regression applying read preference with tag set,0,1,0,2,1,1,project_05,title_desc,ambiguity,zero_shot
ISSUE-253271,"Remove QueryBatchCursorFunctionalSpecification """"should get more from a secondary"""" test",0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255652,Driver does not support field negation,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-252711,Support package scanning for Discriminators,0,1,1,2,2,1,project_05,title_desc,ambiguity,zero_shot
ISSUE-254972,Remove deprecated methods from MapReduceOutput,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255595,Add getters/setters to MongoOptions class,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254357,Add .save and .saveMany to MongoCollection,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-253658,Name driver modules using Automatic-Module-Name,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254032,GridFSDownloadStream - exception when destination buffer size != file chunk size,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-256021,JSON.parse() and serialize() do not preserve the _id field across serializations as expected,0,1,1,2,2,1,project_05,title_desc,ambiguity,zero_shot
ISSUE-254447,Improve runCommand API documentation,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255432,Binary class should implements equals and hashCode,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-253042,Java driver 3.11 page still says 3.10,0,1,0,2,1,1,project_05,title_desc,ambiguity,zero_shot
ISSUE-253390,Change Stream startAtOperationTime MongoCommandException,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
