issue_id,title,ground_truth,pred_llama3.1,pred_qwen2.5,n_models_voted,n_yes_votes,ensemble_prediction,project,input_mode,task,strategy
ISSUE-2486,Add XD deployment for YARN,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1473,Document Kafka message bus,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1928,Module option validation not happening anymore,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2209,Validate existence of batch job at the admin side,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2118,Stream-lib - analytics operators,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1678,Preserve partition state on container restarts,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2005,Paging support for ModuleMetadata/Container repositories,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0138,Upgrade to SHDP 2.2.1.GA,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1267,Add in-memory based Aggregate Field Value Counters,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2220,Support Groovy bean definitions as XD extensions,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0982,Harmonize poller configuration,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-3457,Retrieve information for an aggregate counter,0,1,1,2,2,1,project_01,title_desc,ambiguity,zero_shot
ISSUE-0753,Spring XD admin fails to redeploy modules after Spring XD container successfully reconnectes to Zookeeper,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1005,"Composite Modules should inherit """"xd.*"""" properties",0,1,1,2,2,1,project_01,title_desc,ambiguity,zero_shot
ISSUE-0247,Move Kafka @Rule to a separate repo,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2390,Create RPM for distribution,0,1,0,2,1,1,project_01,title_desc,ambiguity,zero_shot
ISSUE-3476,Add Spring/Integration MBean Exporters to Module ApplicationContexts,1,1,1,2,2,1,project_01,title_desc,ambiguity,zero_shot
ISSUE-2808,Add documentation for gemfire cache-listener source,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2171,Add a 'rank' expression to be used by the container matcher,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0332,[Unit Tests] Enhance test coverage for YARN SPI,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0424,Prevent external libraries from overriding uber-jar dependencies,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0373,Remove hardcoded yarn app version jars,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0586,Replace spring-xd-messagebus-* dependencies with SCS,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1621,Create CompositeModuleRegistry,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0407,"Add """"module list"""" command",0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0597,Remove XML REST Endpoints,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0814,RemoteFileToHadoopTests fails on 1.1.x,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1955,Can't use webhdfs with hdfs sink,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2908,Create an easier short-cut for launching adhoc Batch Jobs,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2746,Add support for Hortonworks Data Platform 2.0,0,1,0,2,1,1,project_01,title_desc,ambiguity,zero_shot
ISSUE-0945,Provide an option for hdfs sink to not use tmp extension,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-3110,"Simplify """"instance"""" deployment code",0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0623,Change in file source breaks backward compatibility,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2217,Make transport configuration extensible.,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2661,With Partitioned Jobs,1,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-3656,Create TCP source module,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1872,No main manifest attribute in xd-yarn-client jar,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
