Issue_Id,Title,Description,amb_f_T,amb_f_TD,inc_f_T,inc_f_TD,amb_d_T,amb_d_TD,inc_d_T,inc_d_TD,amb_a_T,amb_a_TD,inc_a_T,inc_a_TD,amb_s_T,amb_s_TD,inc_s_T,inc_s_TD,sum_amb_T,sum_amb_TD,sum_inc_T,sum_inc_TD,Final_amb_T,Final_amb_TD,Final_inc_T,Final_inc_TD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-38138,Create and publish release note for SDK 7.3.1.RC,Create and publish SDK 7.3.1.RC release note.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-38570,Create and publish release note for Arrow 1.10.0,Create and publish release note for Arrow 1.10.0. Release board: https://jira.appcelerator.org/projects/API/versions/18168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-39606,APIDoc: Geolocation documentation - potential error add remove event listener,"I read the remove event listener documentation and example under Titanium.Geolocation section where it says: removeEventListener( name, callback ) : void Removes the specified callback as an event listener for the named event. Multiple listeners can be registered for the same event, so the callback parameter is used to determine which listener to remove. When adding a listener, you must save a reference to the callback function in order to remove the listener later: var listener = function() window.addEventListener('click', listener); To remove the listener, pass in a reference to the callback function: window.removeEventListener('click', listener); The example shows a regular function with callback being added to a window. It is not Gelocation specific. For a location event I believe you would not assign a variable and would not add it to the window - at least not in all cases. Instead you would say """"Titanium.Geolocation.addEventListener('location',function);"""" AND """"Titanium.Geolocation.removeEventListener('location',function);"""" respectively where function is the same function in add and remove and is the function called by the listener. Would you agree that is what this section of the documentation should say? If so, could you please update it?",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-40579,Doc BUG: Titanium.UI.iPad.Popover explicitly requires a View as child but in fact requires a Window,"In the Titanium Mobile Documentation Titanium.UI.iPad.Popover explicitly requires a View as child but in fact requires a Window. The documentation should be changed to reflect actual implementation. Further more, the documentation for the add method is just plain wrong. The fact is that Titanium.UI.iPad.Popover only works if you add a window. On http://developer.appcelerator.com/apidoc/mobile/latest/Titanium.UI.iPad.Popover.add-method.html it explicitly says that a View must be used and not a window. EDIT: I should specify that Titanium.UI.iPad.Popover can also take a NavigationGroup.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-40465,APIDOC: Ti.UI.TableViewSection.borderRadius does not work,"Altering the value of Ti.UI.TableViewSelection.borderRadius doesn't seem to have any effect in the iOS simulator. Haven't tested it on anything else, but according to the docs, it should work. Not sure if doc bug or product bug, please move as appropriate. Here is a small test case: var win = Ti.UI.createWindow(); var section = []; section[0] = Titanium.UI.createTableViewSection(); var row1 = Titanium.UI.createTableViewRow(); var row2 = Titanium.UI.createTableViewRow(); section.push(row1); section.push(row2); var tableview = Titanium.UI.createTableView(); win.add(tableview); win.open();",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-38497,New documentation page needed for API Builder -> Swagger Specifications,We need a new page in the documentation wiki for API Builder for API Builder -> Swagger Specifications. Please reach out to Jamie Peabody/<USER>for technical details.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-39864,ACS User - need to be able to delete user without logging in as that user,"ACS User - need to be able to delete user without logging in as that user Documentation indicates that in order to delete a user, you must be logged in as that user. http://docs.appcelerator.com/titanium/latest/#/api/Users-method-delete EMC wants to be able to delete a user from an admin account since they may not know the user log in and want to prevent pushes to that user. Wei mentions that we can support this and maybe the documentation is incorrect. Since I am not sure of the syntax i cannot check this (using curl commands)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-38249,Create and publish release note for API Builder 3.0.0,Update } to include the entry for this release and publish the API Builder Zoomin bundle to prod (it's already on sandbox per Chuck's request).,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-38348,Improve the doc navigation,"Based off the request from TIDOC-2890, it would be a good idea to have consistent navigation through out the the doc site. The following products needs to have their content arranged accordingly: * Mobile Backend Services * Appcelerator Platform Services * Alloy Framework * Titanium SDK * Appcelerator Studio The model for navigation is as follows (in this order): # <Product> Getting Started # <Product> Guide #* <supporting pages> # <Product> How-tos #* <supporting pages> # <Product> Release Notes #* <supporting pages> # <Product> FAQ",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-38714,incorrect link,"Content for the """"Documents->VIew -> UI Composite Layout Specs"""" displays incorrect content LInk URL : http://docs.appcelerator.com/platform/latest/!/guide/UI_Composite_Layout_Behavior_Spec See the screengrab for the content displayed on the URL",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-38876,404 page is (unformatted) landing page,"The 404 pages for the docs are not as expected. * Invalid URLs under } will shown an unformatted landing page, e.g. http://docs.appcelerator.com/platform/foo * Invalid URLs in the root will simply show the landing page, without any redirect, e.g. http://docs.appcelerator.com/foo",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-38300,Add a migration banner to all pages in the guides2 space,"Create a script that adds a banner to all the pages in the guides2 space that instructs users to go to the Zoomin portal. The text should read something like this: """"All Appcelerator documentation, with the exception of API documentation, has moved to docs.axway.com. This site will eventually be retired.",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-38460,web site link doesn't exist,"I am not sure if this is registered under the correct project, but the webex link on the webpage doesn't exist. Click the 'View Webinar"""" on http://www.appcelerator.com/resource-center/webinars/mobilizing-sharepoint-your-enterprise-data-on-the-go/.",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-40544,Android: documentation about how to handle Android app first run is missing,"h2. Problem description Android apps needs to be restarted when installed after being downloaded from market. This is related to two Google bugs: http://code.google.com/p/android/issues/detail?id=5277 and http://code.google.com/p/android/issues/detail?id=2373 We have implemented some workarounds on how to gracefully handle this behavior, as described in: https://jira.appcelerator.org/browse/TIMOB-4941 This informations are critical for developers who wants to deploy their app on the Market.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-39279,iOS: createEmailDialog method doesn't work on some devices,"I used this code in my software (email address is just an example): var emailDialog = Ti.UI.createEmailDialog(); emailDialog.open(); On some devices and iOS 7 simulator the email dialog is showed, on some other devices it doesn't appear anything: - it works on iOS 7 simulator - it's blocked on iOS 8 simulator, message info: """"iOS 8 Simulator does not support sending emails. Use a device instead."""" - it doesn't work on iPad 2 with iOS 7 - it doesn't work on iPad mini retina with iOS 8 - it works on iPad air with iOS 7",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-38926,Update iOS Interactive Notifications guide for Apple Watch,The [guide|http://docs.appcelerator.com/platform/latest/#!/guide/iOS_Interactive_Notifications] on iOS Interactive Notifications does not talk about Apple Watch. The https://github.com/appcelerator-developer-relations/appc-sample-notifywatch sample could be linked/used to update the guide and demonstrate the use of it.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-40983,APIDoc: Remove click type events for mapview,"According to http://jira.appcelerator.org/browse/TIMOB-1104 the click event (and therefore presumably singletap, doubletap, dblclick, etc. events) are not supported on mapviews, only on annotations. These events are still listed in the API docs and should be removed.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-40873,APIDoc: ImageView Documentation clarification,"<div><pre> <code>Basic Image View In this example, we create a simple image view: var image = Titanium.UI.createImageView(); view.add(image); Notes If you specify a width and/or height property on the image, the image will be scaled to fit into this space if the image is larger.</code> </pre> <p>The notes are not accurate. (with respect to iPhone and Android devices) You cannot specify [height and width] and get the image to scale on both axis. The ImageView will look at only one of those parameters and which parameter [height or width] Titanium uses is not clearly defined in the notes.</p> <p>Example1:<br></p> <pre> <code>var imgBackground = Titanium.UI.createImageView(); <br> <br> <br> Titanium.API.debug(""""Image Width: """" + imgBackground.width); Titanium.API.debug(""""Image Height: """" + imgBackground.height);</code> </pre> Example2: (switched width &amp; height values)<br> <pre> <code>var imgBackground = Titanium.UI.createImageView(); <br> <br> <br> Titanium.API.debug(""""Image Width: """" + imgBackground.width); Titanium.API.debug(""""Image Height: """" + imgBackground.height);</code> </pre> <p>The imgBackground.width &amp; height report correctly as specified, but the image does not scale on both axis. In both examples the image displayed is of height 50.</p> <p>Example 1: Titanium decided to scale on height, but maintained perspective so image reports a width of 300, but actually displays a width proportional to the height of 50.</p> <p>Example 2: Titanium decided to scale on width, but maintained perspective again.</p> <p>So for the documentation to read correctly it should include the note:</p> <p><strong>The image will be proportionally scaled, and will maintain the original aspect ratio displaying the image based on the height or width parameter which will produce the smallest image.</strong></p></div>",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-38583,Nodejs reset password token,"When I'm using my own template to manage the password reset looks like the """"reset_password_token"""" is not being passed from my email template when I try to click a link in the email (when received). Additionally, I think that there is a problem with documentation, in the link provided by you earlier there's no """"key"""" parameter mentioned in the call (https://[your_url.com]/[your_method]?reset_password_token=}), as referred on one of the stackoverflow thread (see: http://stackoverflow.com/questions/31729687/appcelerator-custom-password-reset-page-bad-request-reset-password-token-is)",1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,3,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-38547,Create and publish release note for Alloy 1.9.2,Create and publish the release note for Alloy 5.5.0.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-39410,"Doctools: hide ACS REST API """"pseudo types"""" in API reference TOC","The PushLogs and PushLogDetails ACS data types are not actual REST API types, but are """"pseduo types"""" returned by logs/querypushlogs and logs/querypushlogdetails methods. We should hide these in the TOC, since they aren't real REST endpoints.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-38316,Remove Mobile Web Support Reference from documentation,"With SDK 7.0 release we will be discontinuing Mobile Web Support, hence we need to remove any reference to Mobile Web from the documentation. Here are the references http://docs.appcelerator.com/platform/latest/#/guide/Deploying_and_Distributing_Mobile_Web_Apps http://docs.appcelerator.com/platform/latest/#/guide/Mobile_Web_Limitations http://docs.appcelerator.com/platform/latest/#!/api/Titanium.Geolocation.MobileWeb",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
