Issue_ID,Title,Description,amb_f_T,amb_f_TD,inc_f_T,inc_f_TD,amb_d_T,amb_d_TD,inc_d_T,inc_d_TD,amb_a_T,amb_a_TD,inc_a_T,inc_a_TD,amb_s_T,amb_s_TD,inc_s_T,inc_s_TD,amb_sum_T,amb_sum_TD,inc_sum_T,inc_sum_TD,Final_amb_T,Final_amb_TD,Final_inc_T,Final_inc_TD
ISSUE-1907,DefaultContainerMatcher - Improve Logging and mention affected Module,"When deploying a definition with a container match criteria specified, and no container could be selected - the logging is ambiguous and should mention the affected module: 11:58:24,089 WARN DeploymentSupervisorCacheListener-0 cluster.DefaultContainerMatcher - No currently available containers match criteria 'somecriteria'",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-1146,http-client Improvement (userDefinedHeaderPrefix),"Currently, you cannot suppress (or change) the } prefix on user-defined headers. See http://stackoverflow.com/questions/28118990/passing-http-request-header-to-restapi-from-springxd-using-http-client-processor/28153291#28153291 Add $\ property.",0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,4,1,0,0,1,0
ISSUE-3079,Deploy a new job module *after* XD-singlenode container has started.,"After the xd-singlenode process has started, create a new job that has dependencies not already in the parent application context, and then create and run a new job that uses the new module. *Implementation Suggestions* Develop in the test tree, we can put in the jar and config from https://github.com/SpringSource/spring-xd-samples/tree/master/batch-simple *How to verify it works.* In a JUnit test case copy in a new job that has new dependencies, ..copy the lib and config directories into the location where the ModuleRegisty will pick it up. Deploy a new job and check in the job repository that the job ran and was successful.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-0367,Spike: Study scope to add support for hdfs commands in shell,"As a s-c-d developer, I'd like to add support for hadoop commands in shell, so I can use it to query the hadoop file system.",1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,2,0,1,0,1,0
ISSUE-3374,Documentation for AggregateCounter,Add section to Analytics chapter on use of AggregateCounter. The example should show the use of the shell to create the tap that uses the AggregateCounter.,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,1,0
ISSUE-0460,First deploy/launch of Pig job that includes yarn-site.xml file fails,Deploying and launching a Pig job that contains a yarn-site.xml config file fails on the first deploy after XD starts up. This happens consistently. The error is: Error: Could not find or load main class org.apache.hadoop.mapreduce.v2.app.MRAppMaster which indicates that the yarn-site.xml file never made it to the classpath. Un-deploying and re-deploying the job seems to fix the problem.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-0456,Refactor Task parsing,Currently the DSL parsing for tasks is a copy and paste of what it is for streams (minus the ability to parse multiple modules). This results in a lot of duplication. This should be refactored to remove duplication and remove explicit references to either streams or tasks in common code.,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,2,0,4,0,1,0,1,0
ISSUE-3038,Add Spring XD Build Plan for Java 8 to Bamboo,This is issue depends on XD-761 https://build.springsource.org/browse/XD-JDK8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
ISSUE-0976,Create a gpload batch job,"As a developer, I'd like to create a _gpload_ tasklet, so I can ingest data from various sources into GPDB in an efficient manner.",1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,3,0,1,0,1,0
ISSUE-1548,Document the configuration of the JobRepository,"XD-2172 added a custom BatchConfigurer to allow the configuration of various properties when creating the JobRepository, isolationLevel, tablePrefix etc. This should be documented in either the Application Configuration second of the docs or in the Batch Job section.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
ISSUE-1672,Add Basic Auth support,"As a user, I'd like to have the option of _Basic Auth_ so that I'm challenged to provide _user name_ and _password_ when making a request. Technical Implementation: This functionality is provided in Spring Boot 1.1.x, it should be a matter of adding the spring boot security starter dependency to the spring-xd-dirt project. It will be controlled using the spring boot property server.basic.enabled = true/false. Our default in application.yml for this property should be false.",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0
ISSUE-1002,Remove Reactor Stream processor from ref docs to spring-xd-modules,Not going to integrate with Reactor for stream processing.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ISSUE-0927,Add support to deploy stream in a single container,"As a developer, I'd like to deploy a stream in the same container, so all modules are colocated within the container. Perhaps also consider building leader election within modules in order to automatically failover the application (stream) from one container to another.",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0
ISSUE-0336,[Int Tests] Enhance test coverage for Lattice SPI,"As a s-c-d developer, I'd like to enhance integration test coverage for } SPI, so I can continuously evaluate functionalities via CI pipeline.",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0
ISSUE-2604,JobPlugin - Use containsKey when checking for Parameters,Use containsKey when checking for Parameters Add tests,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0
ISSUE-1900,Enable FtpHdfsTest,"FtpHdfsTest was added in https://github.com/spring-projects/spring-xd/pull/1005 but excluded since it will require some changes to run on ec2, including setting up an ftpServer on ec2 with appropriate security, etc.",1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,1,0
ISSUE-0514,Add PHD HDFS as s-c-s module,"As a s-c-s developer, I'd like to investigate the right approach to port } as the provider to support } module from XD, so I can decide better handling of HDFS dependencies, which needs loaded and available in root CP at the runtime.",0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,1,0
ISSUE-1536,CompositeModuleDefinition should contain more than List<ModuleDefinition>,"CMD should contain not only name and type of the child module, but also capture the options that were used in the composition. An intermediate between ModuleDefinition and ModuleDescriptor should be created for that purpose (and maybe be part of ModuleDescriptor then)",0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,0,1,0,1,0
ISSUE-2545,Provide a clean way to get a reference to the MessageBus running in SingleNodeApplication,"Currently the message bus is only obtained via Module.getComponent(MessageBus.class). Stream testing scenarios that depend on sending and receiving payloads via named channels do not require a deployed module instance per se, but any stream flow control uses the MessageBus directly. Getting a deployed module instance in general is expensive, e.g., you have to wait for the module to deploy asynchronously, whereas the MessageBus implementation could be known a priori when the application starts. An improvement would be to ask the container for its MessageBus.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
ISSUE-3424,Final review of REST API structure document for streams,"taps and jobs"""",Get closure on open discussion points for REST API wrt to streams, taps and jobs.",0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,2,2,0,0,1,1,0
ISSUE-2913,Change default admin port from 8080,This conflicts with and 'out of the box' hadoop installation that uses 8080 as the 'map reduce shuffle port'. 8088 sound ok?,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,3,0,1,0,1,0
ISSUE-2866,Find runtime modules by type and/or name,"We need a way to find the runtime module info by module type(""""source"""", """"sink"""", """"processor"""", """"job"""").",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0
ISSUE-1470,User wants to package and deploy an XD application,"Install a boot uberjar containing custom modules plus stream and job definitions, and possibly specific configuration. This potentially includes the ability to export and import all deployable resources defined in an XD environment.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,1,0
ISSUE-0697,Create a spark standalone cluster on CI to run spark streaming tests,We need to setup Spark standalone cluster on the CI environment so that the Spark streaming tests can be run on the standalone cluster along with the local mode (that we run now).,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-0518,Port Redis counter as s-c-s sink,"As a s-c-s developer, I'd like to adapt redis } from XD to s-c-s, so I can build streaming pipes using s-c-s modules with simple counters to feed dashboards.",1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,3,1,3,0,1,0,1,0
ISSUE-1072,Large number of required options in jdbc sink definition,"I'd like to use the following command to define a stream in our Spring XD for PivotalCF test environment: stream create --name test --definition """"http --port=9999 | jdbc --username=spring-xd --password=spring-xd --driverClassName=org.postgresql.Driver --url=jdbc:postgresql://1.2.3.4:5432/spring-xd"""" I have to add the following options to the definition to make it work (otherwise I get exceptions and a failed deploy): -validationQuery='' --validatorClassName='#' --connectionProperties='' --initSQL='' --jdbcInterceptors='' --initializerScript='' Given that they're empty anyway it seems like some or all of these should not be necessary. _Notes_ * The validatorClassName cannot be '' like the others, it needs the null. * Without initSQL='' stream creation fails because it can't find init_db.sql (a file I don't have in my environment), even though it won't be run anyway.",0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,1,0
ISSUE-1097,Temp files for stream create not being cleaned,"During testing for Spring XD for PivotalCF we create, deploy, use, undeploy and destroy many streams. Each stream generates } directories (I think 2, one for source, one for sink) in the xd-admin VM's } directory, e.g. dummy-module4635787551932601017sinkredis dummy-module252960009195893204sourcehttp These } directories are not being cleared up, so our system has hit the inode limit of 32768 files for a volume: Filesystem Inodes IUsed IFree IUse% Mounted on /dev/loop0 32768 32768 0 100% /tmp This causes a Java }, the immediately relevant part of which appears to be: [Caught] exception while handling a request Feb 18 09:06:06 10.85.30.142-2 xd-admin-partition-default_az_guid-0: [java.lang.RuntimeException] java.io.IOException: No space left on device Feb 18 09:06:06 10.85.30.142-2 xd-admin-partition-default_az_guid-0: [] at org.springframework.xd.module.ModuleDefinitions.dummy(ModuleDefinitions.java:81) This causes the test system to fail entirely.",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0
ISSUE-2832,The HDFS Sink should support compressing files as they are copied,"Get a java.io.File and copy it into HDFS. Could be text or binary. Write compressed with Hadoop and third party codecs see: (XD-277, XD-279) should initially support: - bzip2 - LZO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-1088,HDFS StoreMessageHandlers are not very resilient,There are cases where hdfs-outbound-channel-adapter (from spring-xd-hadoop module) will keep a broken datawriter's stream open. For example if the underlying HDFS stream throws a RemoteException (ie. some hadoop error occurred) there's no mitigation. Subsequent writes will always fail. The MessageHandler could potentially try to close and re-open the stream or trigger a rollover strategy to occur (creating a new stream).,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,0,1,0,1,0
ISSUE-0993,XD on Lattice POC,"As a developer, I'd like to continue XD-on-Lattice/Diego PoC, and will be focused on the design of a pluggable SPI, so it is more generally applicable than Lattice, with the Receptor API being just one implementation option.",1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,2,1,4,0,1,0,1,0
ISSUE-3212,Parsing stream definition with parameter containing single quotes not working,"The documented gemfire-cq example (https://github.com/springsource/spring-xd/wiki/Sources#wiki-gemfire-cq) fails: xd:>stream create --name cqtest --definition """"gemfire-cq --query=""""Select * from /Stocks where symbol= 'VMW'"""" | file"""" You cannot specify option 'name' when you have also specified '' in the same command xd:>stream create --name cqtest --definition """"gemfire-cq --query=Select * from /Stocks where symbol=' VMW' | file"""" 10:01:46,249 WARN Spring Shell client.RestTemplate:524 - POST request for """"http://localhost:8080/str eams"""" resulted in 400 (Bad Request); invoking error handler Command failed org.springframework.xd.rest.client.impl.SpringXDException: XD115E:(pos 26): unexpected data in stream definition '*' gemfire-cq --query=Select * from /Stocks where symbol='VMW' | file ^",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ISSUE-0131,Support partitioning for Kafka even if count == 1,"As a developer, I want to be able to set a partitioning key for the Kafka bus even when there is a single downstream module, so that I can take advantage of the native Kafka partitioning and message ordering support.",1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,3,0,1,0,1,0
ISSUE-2806,User should be able to view the list of all the job definitions,"Create a tab view with tabs “Job Definitions”, “Runtime Jobs” (Deployed Jobs?, “Job Instances” (Is Runtime Jobs a better name here?) and “Job Executions”. On clicking “Job Definitions” tab, we can have a table view of job definitions. Since we bootstrap.js, we can have a responsive table layout to list all the available job definitions. At the REST layer, “/jobs” provides the list of job definitions. We can expand the JobsController list()’s QueryOptions to add more criteria (especially to list JobDefinition’s status (Deployed/Undeployed). Also, this is the UI implementation for the shell command “job list”",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-3281,Create proper test coverage for Controllers,Create proper test coverage for Controllers,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,3,0,0,1,1
ISSUE-0114,Spring flo issue with unexpected char,In Flo when creating a stream if you use asterisk you get an error. See the image attached.,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,4,1,0,0,1,0
ISSUE-2819,Create OOTB batch job for export and processing multiple files from HDFS to MongoDB,The ItemReader will read multiple files from HDFS and the data will be converted to a tuple data structure The ItemProcessor will be a no-op groovy script. The ItemWriter will write the data to a MongoDB collection ** A TupleToDBObject converter will need to be developed. *the sample job should be documented*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-3583,Creating a tap throws an exception,Creating a tap throws an exception. In local mode: Cannot resolve reference to bean 'redisConnectionFactory' while setting constructor argument; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No bean named 'redisConnectionFactory' is defined But also fails when using redis.,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,3,0,1,0,1,0
ISSUE-1320,Upgrade CI Acceptance AMI to HVM,Replace the current paravirtual AMI used for CI tests needed to be replaced with a HVM based AMI Paravirtual is being phased out by Amazon. Also so we can utilize VPC and placement groups in the future.,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0
ISSUE-3683,Sonar build is failing,https://build.springsource.org/browse/XD-SONAR-34 Caused by: java.lang.ClassNotFoundException: org.sonar.api.Plugin at org.codehaus.plexus.classworlds.strategy.SelfFirstStrategy.loadClass(SelfFirstStrategy.java:50) at org.codehaus.plexus.classworlds.realm.ClassRealm.loadClass(ClassRealm.java:244) at org.codehaus.plexus.classworlds.realm.ClassRealm.loadClass(ClassRealm.java:230) ... 94 more,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,3,0,3,0,1,0,1,0
ISSUE-0297,Port Mail as s-c-s sink,"As a Spring XD developer, I'd like to move } module from XD to s-c-s repo, so I can use it as sink to build streaming pipeline.",0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,4,1,0,0,1,0
ISSUE-2837,User requires wiki page on how to use the XD EC2 Installer,Add instructions to github wiki on the usage of the installer,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ISSUE-0692,Document the new analytics tab features,"As a user, I'd like to refer to the analytics tab docs, so I can understand how to use various widgets from streaming pipeline.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ISSUE-1393,Workaround latest boot snapshot issue,"* The workaround explicitly updates spring-core (latest boot needs it) * merges all application.yml documents that are not profile-specific under on spring: key (the latest boot requires it, at least for now. Boot may go back, see spring-projects/spring-boot#2022",1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,2,1,3,0,1,0,1,0
ISSUE-1213,Add test coverage for 'complex objects' as payload,"As a tester, I'd like to add test coverage for """"complex objects"""" such protocol buffers, any object with nested variables or a tree of objects so that I can evaluate and document the performance characteristics.",0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,2,0,0,0,1,0
ISSUE-2096,Create documentation section for the shell,"Create a new section in the docs regaring shell usage, in particular how to represent single and double quotes. Include some discussion of basic commands to manipulate streams, jobs and list modules. How to pass in a file that can be executed when the shell starts up. Also point to spring-shell ref docs for extensibility in terms of adding custom commands.",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0
ISSUE-0695,Example hashtag-count MR job fails when running XD on YARN with PHD 3.0,"Running XD on YARN on PHD 3.0 Ambari install. Uploading and submitting a custom job fails with the following: 2015-06-02 16:54:15,580 INFO [AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl: Diagnostics report from attempt_1433273561345_0009_m_000000_0: Error: java.lang.RuntimeException: java.lang.ClassNotFoundException: Class org.springframework.xd.examples.hadoop.HashtagCount$TokenizerMapper not found at org.apache.hadoop.conf.Configuration.getClass(Configuration.java:2076) at org.apache.hadoop.mapreduce.task.JobContextImpl.getMapperClass(JobContextImpl.java:186) at org.apache.hadoop.mapred.MapTask.runNewMapper(MapTask.java:742) at org.apache.hadoop.mapred.MapTask.run(MapTask.java:341) at org.apache.hadoop.mapred.YarnChild$2.run(YarnChild.java:163) at java.security.AccessController.doPrivileged(Native Method) at javax.security.auth.Subject.doAs(Subject.java:415) at org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:1628) at org.apache.hadoop.mapred.YarnChild.main(YarnChild.java:158) Caused by: java.lang.ClassNotFoundException: Class org.springframework.xd.examples.hadoop.HashtagCount$TokenizerMapper not found at org.apache.hadoop.conf.Configuration.getClassByName(Configuration.java:1982) at org.apache.hadoop.conf.Configuration.getClass(Configuration.java:2074) ... 8 more Same example jar works fine when submitted from XD cluster.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
