Issue_ID,Title,Description,amb_f_T,amb_f_TD,inc_f_T,inc_f_TD,amb_d_T,amb_d_TD,inc_d_T,inc_d_TD,amb_a_T,amb_a_TD,inc_a_T,inc_a_TD,amb_s_T,amb_s_TD,inc_s_T,inc_s_TD,sum_amb_T,sum_amb_TD,sum_inc_T,sum_inc_TD,Final_amb_T,Final_amb_TD,Final_inc_T,Final_inc_TD
ISSUE-254855,Discrimination in Jackson-Codec,so we can create a collection of classes and each document can be a subclass,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,2,0,3,1,1,0,1,0
ISSUE-256012,Add w/wtimeout to WriteConcern (getLastError),Add support for w/wtimeout with replicas/slaves. See: http://www.mongodb.org/display/DOCS/Replication#Replication-ReplicationAcknowledgementviagetlasterror,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
ISSUE-253265,Provide an option to use pooled NIO direct buffers to minimise impact on GC,When the driver is being used with GridFS to serve binary data ('files) over HTTP,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,0,1
ISSUE-254440,DocumentCodec and DBObjectCodec treat nested Maps/Iterables differently,This is closely related to JAVA-1760. The fix was made for } but } remained unchanged. Now,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,2,0,0,0,1
ISSUE-255480,Secondary reads on lists of mongos fail until first write,The fix for JAVA-656 introduced a regression. In the case where you have use the Mongo constructor that takes a list of ServerAddress,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,0,1
ISSUE-255171,Saved extra fields for Gridfs does not go in metadata sub-document,When put some metadata for a file to save with Gridfs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ISSUE-254446,Repeated connection with expected authentication errors is not deterministic,I found the following problem // Mongo client with credentials on a non existing user // we expect an auth failure error MongoClient mongo = ...; try catch (MongoException me) { // auth failure exception,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
ISSUE-254233,Custom logging implementation,The Java driver currently assumes that logging will be done through SLF4J or java.util.logging. There doesn't appear to be a way to integrate the driver with a custom logging framework,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,3,0,1,0,1,0
ISSUE-252701,Update documentation for Text Search,h4. Description of Drivers Ticket: Now that we have $search for Atlas,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,2,0,0,1,1
ISSUE-255572,Morphia Integration in java driver,The official driver seems to be about to release 2.8 while Morphia integration was said to be on the roadmap for 3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-255511,Respect the QueryFailure response flag in OP_REPLY,See http://www.mongodb.org/display/DOCS/Mongo+Wire+Protocol#MongoWireProtocol-DatabaseResponseMessages. Java driver currently defines a constant for this flag (com.mongodb.Bytes#RESULTFLAG_ERRSET),0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0
ISSUE-254614,2.12.x breaks compatibility with mongoDB v1.8,"Using the Java driver 2.12.x against a mongoDB version 1.8 fails at startup due to com.mongodb.MongoTimeoutException caused by java.lang.NullPointerException (see stack trace below). The root cause seems to be the expected existence of """"versionArray"""" in com.mongodb.ServerStateNotifier.getVersion(final CommandResult buildInfoResult) (v. 2.12.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-253354,Deprecate DBCursor#addSpecial,With the introduction of the find command in MongoDB 3.2,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,3,2,0,0,1,1
ISSUE-255153,update description of fsync write concern flag,Update the description of fsync and j flags in WriteConcern Javadoc so that it accurately describes the current behavior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-255938,DBCursor.copy() does not copy batch size,"the batchSize field is not copied to the new DBCursor object in method """"copy",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
ISSUE-253697,"upload mo artifacts"""" Evergreen post-task is failing","The """"upload mo artifacts"""" Evergreen post-task is failing. [2017/11/14 16:16:09.190] Running command 'shell.exec' in """"upload mo artifacts"""" (step 1.1 of 3) [2017/11/14 16:16:09.207] + export DRIVERS_TOOLS=/data/mci/8d4abb008de048b4b5b6f694c215f135/src/../drivers-tools [2017/11/14 16:16:09.207] + export MONGO_ORCHESTRATION_HOME=/data/mci/8d4abb008de048b4b5b6f694c215f135/src/../drivers-tools/.evergreen/orchestration [2017/11/14 16:16:09.207] + export MONGODB_BINARIES=/data/mci/8d4abb008de048b4b5b6f694c215f135/src/../drivers-tools/mongodb/bin [2017/11/14 16:16:09.207] + export UPLOAD_BUCKET=mongo-java-driver [2017/11/14 16:16:09.207] + export PROJECT_DIRECTORY=/data/mci/8d4abb008de048b4b5b6f694c215f135/src [2017/11/14 16:16:09.207] + export TMPDIR=/data/mci/8d4abb008de048b4b5b6f694c215f135/src/../drivers-tools/.evergreen/orchestration/db [2017/11/14 16:16:09.207] + export PATH=/data/mci/8d4abb008de048b4b5b6f694c215f135/src/../drivers-tools/mongodb/bin:/opt/go/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/home/ubuntu/.rvm/bin [2017/11/14 16:16:09.207] + export PROJECT=mongo-java-driver [2017/11/14 16:16:09.207] + + find /data/mci/8d4abb008de048b4b5b6f694c215f135/src/../drivers-tools/.evergreen/orchestration -name *.log [2017/11/14 16:16:09.207] xargs tar czf /data/mci/8d4abb008de048b4b5b6f694c215f135/src/mongodb-logs.tar.gz [2017/11/14 16:16:09.217] tar: Removing leading `/data/mci/8d4abb008de048b4b5b6f694c215f135/src/../' from member names [2017/11/14 16:16:09.224] Running command 's3.put' in """"upload mo artifacts"""" (step 1.2 of 3) [2017/11/14 16:16:09.224] Putting /data/mci/8d4abb008de048b4b5b6f694c215f135/src/mongodb-logs.tar.gz into path mongo-java-driver/tests-jdk-other__version~3.4_os~linux_topology~standalone_auth~auth_ssl~ssl_jdk~jdk9/e6d9f39e89a27b81225ae3e3e965d20ee5c40400/5a0b4865e3c3315e3b008dbf/mongo_java_driver_tests_jdk_other__version~3.4_os~linux_topology~standalone_auth~auth_ssl~ssl_jdk~jdk9_patch_e6d9f39e89a27b81225ae3e3e965d20ee5c40400_5a0b4865e3c3315e3b008dbf_17_11_14_19_48_07/logs/mongo_java_driver_tests_jdk_other__version~3.4_os~linux_topology~standalone_auth~auth_ssl~ssl_jdk~jdk9_test_patch_e6d9f39e89a27b81225ae3e3e965d20ee5c40400_5a0b4865e3c3315e3b008dbf_17_11_14_19_48_07-1-mongodb-logs.tar.gz in s3 bucket mciuploads [2017/11/14 16:16:09.224] performing s3 put to mciuploads of mongo-java-driver/tests-jdk-other__version~3.4_os~linux_topology~standalone_auth~auth_ssl~ssl_jdk~jdk9/e6d9f39e89a27b81225ae3e3e965d20ee5c40400/5a0b4865e3c3315e3b008dbf/mongo_java_driver_tests_jdk_other__version~3.4_os~linux_topology~standalone_auth~auth_ssl~ssl_jdk~jdk9_patch_e6d9f39e89a27b81225ae3e3e965d20ee5c40400_5a0b4865e3c3315e3b008dbf_17_11_14_19_48_07/logs/mongo_java_driver_tests_jdk_other__version~3.4_os~linux_topology~standalone_auth~auth_ssl~ssl_jdk~jdk9_test_patch_e6d9f39e89a27b81225ae3e3e965d20ee5c40400_5a0b4865e3c3315e3b008dbf_17_11_14_19_48_07-1-mongodb-logs.tar.gz [1 of 10] [2017/11/14 16:16:09.225] Command failed: missing file /data/mci/8d4abb008de048b4b5b6f694c215f135/data/mci/8d4abb008de048b4b5b6f694c215f135/src/mongodb-logs.tar.gz: stat /data/mci/8d4abb008de048b4b5b6f694c215f135/data/mci/8d4abb008de048b4b5b6f694c215f135/src/mongodb-logs.tar.gz: no such file or directory [2017/11/14 16:16:09.225] Running command 's3.put' in """"upload mo artifacts"""" (step 1.3 of 3) [2017/11/14 16:16:09.225] Putting /data/mci/8d4abb008de048b4b5b6f694c215f135/src/../drivers-tools/.evergreen/orchestration/server.log into path mongo-java-driver/tests-jdk-other__version~3.4_os~linux_topology~standalone_auth~auth_ssl~ssl_jdk~jdk9/e6d9f39e89a27b81225ae3e3e965d20ee5c40400/5a0b4865e3c3315e3b008dbf/mongo_java_driver_tests_jdk_other__version~3.4_os~linux_topology~standalone_auth~auth_ssl~ssl_jdk~jdk9_patch_e6d9f39e89a27b81225ae3e3e965d20ee5c40400_5a0b4865e3c3315e3b008dbf_17_11_14_19_48_07/logs/mongo_java_driver_tests_jdk_other__version~3.4_os~linux_topology~standalone_auth~auth_ssl~ssl_jdk~jdk9_test_patch_e6d9f39e89a27b81225ae3e3e965d20ee5c40400_5a0b4865e3c3315e3b008dbf_17_11_14_19_48_07-1-orchestration.log in s3 bucket mciuploads [2017/11/14 16:16:09.225] performing s3 put to mciuploads of mongo-java-driver/tests-jdk-other__version~3.4_os~linux_topology~standalone_auth~auth_ssl~ssl_jdk~jdk9/e6d9f39e89a27b81225ae3e3e965d20ee5c40400/5a0b4865e3c3315e3b008dbf/mongo_java_driver_tests_jdk_other__version~3.4_os~linux_topology~standalone_auth~auth_ssl~ssl_jdk~jdk9_patch_e6d9f39e89a27b81225ae3e3e965d20ee5c40400_5a0b4865e3c3315e3b008dbf_17_11_14_19_48_07/logs/mongo_java_driver_tests_jdk_other__version~3.4_os~linux_topology~standalone_auth~auth_ssl~ssl_jdk~jdk9_test_patch_e6d9f39e89a27b81225ae3e3e965d20ee5c40400_5a0b4865e3c3315e3b008dbf_17_11_14_19_48_07-1-orchestration.log [1 of 10] [2017/11/14 16:16:09.225] Command failed: missing file /data/mci/8d4abb008de048b4b5b6f694c215f135/data/mci/8d4abb008de048b4b5b6f694c215f135/drivers-tools/.evergreen/orchestration/server.log: stat /data/mci/8d4abb008de048b4b5b6f694c215f135/data/mci/8d4abb008de048b4b5b6f694c215f135/drivers-tools/.evergreen/orchestration/server.log: no such file or directory",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,0,1,0
ISSUE-253111,minWireVersion is 1 but it should be 2,The minWireVersion of the driver should be 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-252640,Documentation links 404,"On http://mongodb.github.io/mongo-java-driver/4.0/driver-scala/ all of the """"reference"""" links appear to be broken.",0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,3,0,0,0,1,0
ISSUE-255236,DBObject.equals can fail when binary data exists,My understanding of the cause: While the Binary type implements an `equals` method that compares byte arrays,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,0,1
ISSUE-255324,Increase GridFS max chunk size,In GridFS.java: /** * file's chunk size */ public static final int DEFAULT_CHUNKSIZE = 256 * 1024; /** * file's max chunk size */ public static final long MAX_CHUNKSIZE = (long)(3.5 * 1000 * 1000); Can I increate MAX_CHUNKSIZE to 15*1000*1000 ?,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
ISSUE-254743,Server selection exception should chain exceptions from server monitors,Currently BaseCluster.selectServer throws a MongoTimeoutException if no matching servers can be found for the selector. But if the reason there are no matching servers is due to one or more exceptions in the server monitors,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,0,1
ISSUE-253069,Remove mongodb-driver-embedded-android package,We no longer need to maintain this,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-254867,Add type-safe jsMode support in MapReduceCommand,Currently this can only be done using the addExtraOption method. There should be a type-safe set of methods for it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-252707,Storing unsigned integer to Mongodb from java,"We are trying to insert an unsigned integer (20 digits) to database using java driver (3.12.13 version). Stored unsigned integer in BigInteger() java class. BigInteger value = new BigInteger(""""18446744073709551614""""); When attempting to insert to db following exception is thrown: org.bson.codecs.configuration.CodecConfigurationException: Can't find a codec for class java.math.BigInteger. Not sure if the issue is with driver or the MongoDB. We would like to have the facility to store such data to database.",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
ISSUE-255700,Possible bug with JSON parser,It seems strange that this test passes,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,2,3,0,0,1,1
ISSUE-253917,$geoNear Aggregation pipeline in Mongo JAVA driver,$geoNear aggregation pipeline operator is not present in the Mongo JAVA driver. We have to manually write the Bson for this.,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
ISSUE-254894,The aggregation method is inaccurately showing type,"mongoClient = new MongoClient(new MongoClientURI(uri)); // Set the desired Database DB mDB = mongoClient.getDB(db); DBCollection collection = mDB.getCollection(""""objectstore""""); BasicDBObject mQuery = new BasicDBObject(""""data.vars",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,0,1
ISSUE-253334,Deprecate MongoIterable#forEach,The } method on MongoIterable conflicts with the default forEach method added to } in Java 8. If you try to use either with a lambda expression you get a compiler error which forces you to cast the lambda to either Block or Consumer,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0
ISSUE-255443,Errors when DBRef's $id is Object instead of simple value,Mongo is able to store objects in _id field,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ISSUE-253221,mongodb+srv schema can cause NullPointerException,If the MongoClient is used to execute an operation before SRV lookup complete,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
ISSUE-253502,Re-enable write concern tests for dropDatabase command,Write concern failures for dropDatabase result in failed command in 4.1 server builds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-255435,Thread Locals not being freed in thread pool,We are seeing thread local data being left on threads in the thread pool of our application running in Tomcat 7 causing a memory leak. This problem is not unique to us. The JIRA issues below are described by your customers experiencing similar problems https://jira.mongodb.org/browse/JAVA-596 https://jira.mongodb.org/browse/JAVA-130 https://jira.mongodb.org/browse/JAVA-236 In JAVA-236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-255744,authentication for replica set fails frequently because 'getnonce' and 'authenticate' command is issued to different server,"following code returns false. import com.mongodb.Mongo import com.mongodb.ServerAddress val servers = new java.util.ArrayList[ServerAddress] servers.add(""""192.168.10.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ISSUE-255326,No Such Method Exception When Instantiating Mongo Client,"When creating a new mongo client: MongoClient mongo = new MongoClient( """"localhost""""); I'm getting an exception: java.lang.NoSuchMethodError: com.mongodb.ReadPreference.primary()Lcom/mongodb/ReadPreference; at com.mongodb.MongoClientOptions$Builder.<init>(MongoClientOptions.java:51) at com.mongodb.MongoClient.<init>(MongoClient.java:126) at com.mongodb.MongoClient.<init>(MongoClient.java:91) at com.mediasilo.commons.data.database.MongoDB.getDatabase(MongoDB.java:24) at test.com.mediasilo.commons.data.dao.MongoDBTests.getDatabase_suceeds(MongoDBTests.java:12) I have recreated this issue on the following version of the java driver: 2.11.1 2.9.3 OS: Ubuntu 12.04 LTS Java Version: 1.7.0_17 My code is as follows: import com.mongodb.DB; import com.mongodb.MongoClient; import com.mongodb.ServerAddress; ... public static final DB getDatabase() catch(UnknownHostException e) return db; }",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0
ISSUE-255548,Stackoverflow when querying document with cycle reference using DBRef,"I first created an issue at spring-data-mongo https://jira.springsource.org/browse/DATAMONGO-488 and it appears that the issue come from the mongo Java Driver. Following my test code : Mongo mongo = new Mongo(""""localhost""""",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,0,1
ISSUE-254528,Add MongoCollection.dropIndex(Bson keys),This will complement MongoCollection.dropIndex(String indexName) to make it easier for users to drop an index without having to figure out its name (which is not required by createIndex),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-254203,Add equals() and toString() to Updates,The implementation classes used for the com.mongodb.client.model.Updates factory currently don't implement toString() or equals(). This creates a significant difficulty in regards to debugging,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-254082,Connection and thread leakage in DefaultServerMonitor,When experiencing network issues between mongos and application server,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,2,0,0,0,1
ISSUE-253763,Reduce size of Evergreen matrix,There's no compelling reason to test all combinations of auth enabled/disabled and SSL enabled/disabled. Instead,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
ISSUE-254130,Ensure Loggers are past to ErrorHandlingCallbacks,Also if } is null print the error to stdout.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
ISSUE-253459,how to implement nested query in java API,"db.a.find({ """"id"""" : { """"$in"""" : [""""3",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,3,0,0,0,1
ISSUE-255998,Tried to save too large of an object. max size: 2098176,I assume this is an issue with java driver... Saw earlier JIRA which supposedly fixed this in 1.2... java.lang.IllegalArgumentException: tried to save too large of an object. max size : 2098176 at com.mongodb.ByteEncoder.getTooLargeException(ByteEncoder.java:154) at com.mongodb.DBApiLayer$MyCollection.insert(DBApiLayer.java:182) at com.mongodb.DBApiLayer$MyCollection.insert(DBApiLayer.java:132) at com.mongodb.DBApiLayer$MyCollection.insert(DBApiLayer.java:127),0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0
ISSUE-254903,REPLICA_ACKNOWLEDGED not working at the time of arbiter Node,I have 3 mongodb node setup like Primary,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,2,0,0,0,1
ISSUE-253040,mavenLocal should be first repository,It's very confusing when depending on a SNAPSHOT build while debugging,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0
ISSUE-255829,Publish maven SNAPSHOTs,Until now only releases of the java driver are published to public maven repos. It would be great to have also SNAPSHOTs published to some maven repo so that improvements and fixes are available immediately. Now that more functionality is pulled from morphia into the java driver it would be great to see the same super-fast improvements in the java-driver as they were done in morphia :-),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-253678,Document new Pojo updates,Document the changes in the PojoCodec for 3.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-255807,Allow bson decoder per operation (find/cusor),This will allow frameworks to remove the need for using DBCallbacks when decoding bson data and alternate methods of decoding/passthrough. It also makes it easier to setup callbacks per operation.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-252979,Remove CLIRR support from the build,The CLIRR reports aren't all that useful to us anymore,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
ISSUE-252775,Multiple reads of BsonBinary UUID return different results,h3. Issue If a BsonBinary object is read multiple times by the UUID codec it returns a different result each time. The first read returns the correct data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-254111,Allow setting of standard server selection and server monitoring options in the connection string,The server selection specification contains two user configuration options that apply to the Java driver: * [serverSelectionTimeoutMS|https://github.com/mongodb/specifications/blob/master/source/server-selection/server-selection.rst#serverselectiontimeoutms] * [localThesholdMS|https://github.com/mongodb/specifications/blob/master/source/server-selection/server-selection.rst#localthresholdms] and the server discovery and monitoring specification contains one: * [heartbeatFrequencyMS|https://github.com/mongodb/specifications/blob/master/source/server-discovery-and-monitoring/server-discovery-and-monitoring.rst#heartbeatfrequencyms] These should all be specifiable on the connection string.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-255459,Aggregate and mapReduce commands sent to mongos break when setting read preference,There is an incompatibility between mongos versions 2.0 and greater and previous version,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-253919,DBCollection.distinct() fails when a null value is in the result,"When I execute the command } on a collection that contains a document like { """"_id"""": """"...",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1
ISSUE-254628,Force slaveOK on a direct connection to a replica set membe,Users connecting directly to any replica set member should always be able to query without having to specify a secondary read preference or set the slave ok bit.,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,0,0,1,0
ISSUE-255956,Use weakrefs for static list of Mongo instances,Use weakrefs for Mongo instances create by static methods. http://github.com/<USER>mongo-java-driver/commit/483b0372d37a3f699cacee7af852cfb809e08cbc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-253509,Make Java driver spec compliant - FY2019Q2,Tracking ticket for all Java tickets that are required to make the driver spec compliant. This is the list that was agreed to in Q2 planning.,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
ISSUE-252673,GetMore not closing cursor after exception leading mongos to OOM,If we analyze the code: [https://github.com/mongodb/mongo-java-driver/blob/master/driver-core/src/main/com/mongodb/internal/operation/QueryBatchCursor.java#L264] private void getMore() { Connection connection = connectionSource.getConnection(); try { if (serverIsAtLeastVersionThreeDotTwo(connection.getDescription())) { try { initFromCommandResult(connection.command(namespace.getDatabaseName(),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,0,1
ISSUE-254365,Remove errant Javadoc for w = -1 in WriteConcern constructors.,The WriteConcern constructors continue to document w = -1 even though that value is no longer supported.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-253861,Add to Enum<JsonMode>,Currently ENum<JsonMode> has the Values 'STRICT' or 'SHELL' as a parameter value to be passed for example to JsonWriterSettings(JsonMode.SHELL) We need a 3rd option call it SIMPLE or NOTEXTENDED in which the bson extended json values are returned as raw values without using the bson extended json datatypes as in JsonMode.SHELL or returning a json document for the bson extended json datatypes as in JsonMode.STRICT For example a document with a field of type Long will render the following json JsonMode.SHELL - JsonMode.STRICT - JsonMode.SIMPLE - Currently,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,3,0,1,0,1,0
ISSUE-254940,Consider supporting writetimeout for sockets implementations that support it,There is no mechanism to set a write timeout on a java.net.Socket but there is for nio and netty.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-252879,MongoClient.listCollectionNames() returns truncated names,We found an issue with version 3.10.0 and Azure CosmosDB where it returns shortened collection names with first 3 letters removed? Testing with version 3.9.1 it appears to work correctly. 3.10.0 - BUG !!! gockChangeLog,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
ISSUE-255508,Connection timeout is ignored in ConnectionStatus,"Default connection timeout is used in } class causing the following code stopping after 20s instead of 1s. MongoOptions options = new MongoOptions(); options.connectTimeout = 1000; Mongo m = new Mongo(Arrays.asList(new ServerAddress(""""localhost:27017""""))",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
ISSUE-252730,Test that readPreferenceTags are always interpreted as an array,h4. Description of Drivers Ticket: We currently lack coverage for behavior when users provide only a single } option in the connection string. See DRIVERS-989 for updated details.,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
ISSUE-255584,skip() throw exception with the source code version 2.7.2-141,The java driver is compiled by myself,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
