issue_id,title,description,ambiguous,incomplete
ISSUE-0052,API rate limiting #52,Implement rate limiting of 100 requests per minute per API key with 429 responses.,1,0
ISSUE-0053,Button color #53,Change the button color.,0,1
ISSUE-0054,Memory leak #54,Memory usage grows unbounded in the background sync service over 24 hours.,1,0
ISSUE-0055,Update docs #55,Documentation is outdated.,1,1
ISSUE-0056,File upload fails #56,Uploading files larger than 10MB fails with a 413 error on the /upload endpoint.,0,1
ISSUE-0057,Wrong total #57,The total is wrong in the cart.,0,1
ISSUE-0058,Session expiry #58,Implement automatic session expiry after 30 minutes of inactivity with a warning dialog.,0,0
ISSUE-0059,Fix typo #59,There's a typo somewhere.,1,0
ISSUE-0060,Pagination broken #60,Pagination does not work when filter is applied on the user management table.,0,1
ISSUE-0061,Add logging #61,Add proper logging.,0,0
ISSUE-0062,Two-factor auth #62,Add TOTP-based 2FA support for admin accounts with backup codes.,1,1
ISSUE-0063,Improve something #63,Something needs to be improved.,0,0
ISSUE-0064,CSV import fails #64,Importing CSV files with special characters (commas in fields) fails silently.,1,1
ISSUE-0065,Profile page slow #65,The profile page takes 8+ seconds to load due to unoptimized image loading.,0,0
ISSUE-0066,Notifications broken #66,Push notifications are not delivered to Android devices running Android 13+.,0,0
ISSUE-0067,Timezone bug #67,Timestamps display in UTC instead of user's local timezone in the event log.,0,1
ISSUE-0068,Dropdown empty #68,Country dropdown is empty on the registration form for new users.,0,0
ISSUE-0069,Report generation #69,"The monthly report generation times out for datasets with more than 10,000 rows.",0,1
ISSUE-0070,Missing feature #70,Add the thing we discussed in the meeting.,0,1
ISSUE-0071,Concurrent edit conflict #71,Two users editing the same record simultaneously causes data loss silently.,1,0
ISSUE-0072,Wrong redirect #72,"After logout, users are redirected to dashboard instead of the login page.",0,1
ISSUE-0073,Image resize #73,"Profile images are not resized/compressed on upload, causing slow page loads.",1,1
ISSUE-0074,Filter not saving #74,Applied filters are reset when navigating back to the list view.,1,1
ISSUE-0075,Audit log missing #75,Admin actions are not being recorded in the audit log table.,0,0
ISSUE-0076,Language switch broken #76,Switching language mid-session reverts to English after page refresh.,0,0
ISSUE-0077,Role permission #77,Users with 'viewer' role can access admin endpoints via direct URL.,1,0
ISSUE-0078,Broken link #78,There is a broken link on the page.,0,0
ISSUE-0079,Chart rendering #79,Bar chart renders incorrectly when data contains negative values.,0,0
ISSUE-0080,Delete confirmation #80,Add a confirmation dialog before deleting records permanently.,0,0
ISSUE-0081,Fix login bug #81,Users cannot log in sometimes. Please fix it.,0,0
ISSUE-0082,Update UI #82,The interface needs updating.,1,0
ISSUE-0083,Add export feature #83,We need to export data to CSV format from the reports page.,0,1
ISSUE-0084,Performance issue #84,The app is slow.,1,0
ISSUE-0085,Null pointer exception #85,NullPointerException occurs in UserService.java at line 142 when userId is null.,0,1
ISSUE-0086,Search not working #86,Search returns no results.,0,1
ISSUE-0087,Add dark mode #87,Implement dark mode toggle in settings with persistent preference via localStorage.,1,0
ISSUE-0088,Crash on startup #88,App crashes when opened.,0,0
ISSUE-0089,Email validation #89,Validate email format on registration form and show inline error messages.,1,1
ISSUE-0090,Database timeout #90,DB queries timeout after 30 seconds under heavy load with more than 500 concurrent users.,1,1
ISSUE-0091,Missing error handling #91,Handle errors properly.,1,0
ISSUE-0092,API rate limiting #92,Implement rate limiting of 100 requests per minute per API key with 429 responses.,0,0
ISSUE-0093,Button color #93,Change the button color.,1,1
ISSUE-0094,Memory leak #94,Memory usage grows unbounded in the background sync service over 24 hours.,0,0
ISSUE-0095,Update docs #95,Documentation is outdated.,0,0
ISSUE-0096,File upload fails #96,Uploading files larger than 10MB fails with a 413 error on the /upload endpoint.,1,0
ISSUE-0097,Wrong total #97,The total is wrong in the cart.,1,0
ISSUE-0098,Session expiry #98,Implement automatic session expiry after 30 minutes of inactivity with a warning dialog.,1,1
ISSUE-0099,Fix typo #99,There's a typo somewhere.,0,0
ISSUE-0100,Pagination broken #100,Pagination does not work when filter is applied on the user management table.,1,0
